CPU times,RSS memory,VMS memory,Shared memory,Text segment,Data segment,Library code,Memory Percent
1.1,3887142.2803738317,7125202.542056074,2962135.3271028036,20288.59813084112,1367298.3925233644,0.0,0.04762319662387448
1.05,10706783.37254902,13671243.294117646,3191868.2352941176,12167.529411764706,7932225.2549019605,0.0,0.1311738066122688
0.19,1925399.2727272727,6064407.2727272725,1753274.1818181819,16011.636363636364,392285.0909090909,0.0,0.02358896627157605
1.15,10152195.991091315,16808524.40089087,2197718.3786191535,8173.755011135858,11029679.608017817,0.0,0.12437929743115912
2.86,5384784.644688644,8613212.835164836,3056666.2564102565,20404.981684981685,2822279.032967033,0.0,0.06597151311028525
0.31000000000000005,1936869.0526315789,6164614.736842105,1757830.7368421052,16276.21052631579,398767.15789473685,0.0,0.023729487905263903
0.81,9612074.585086042,16145711.479923518,2087448.4741873804,8176.336520076482,10365041.560229445,0.0,0.1177918582208185
4.22,6146578.962962963,9100684.958024692,3032374.9925925927,20378.864197530864,3317163.298765432,0.0,0.07530461130669032
0.45,7727476.363636363,10544593.454545455,3182312.727272727,12008.727272727272,4880477.090909091,0.0,0.09467292415043915
0.11000000000000001,1919658.6666666667,6122700.8,1741837.6533333333,16165.546666666667,396055.8933333333,0.0,0.023518635424016252
0.6,10013849.061052632,16755321.802105263,2138439.68,8157.507368421053,10987964.092631578,0.0,0.12268085820956809
2.08,4742600.237623762,7755025.742574258,3054622.415841584,20175.841584158417,2028919.1287128713,0.0,0.05810381183244711
4.74,22737811.256637167,25742888.778761063,3032471.7876106193,12260.814159292035,19959871.433628317,0.0,0.27857887904562767
0.29,1955422.1806020066,6184686.02006689,1779883.237458194,16329.204013377926,400065.4983277592,0.0,0.023956790946314227
0.67,9326754.53968254,15778450.285714285,2193570.5396825396,8175.746031746032,9998197.841269841,0.0,0.11426642846301939
1.61,4404019.2,7413548.593548387,2966719.587096774,20347.870967741936,1638822.812903226,0.0,0.05395569731415847
0.67,11156883.393939395,13876937.696969697,3174586.1818181816,12101.818181818182,8168913.454545454,0.0,0.13668819231595428
0.13,1941708.8,6193029.12,1761845.248,16351.232,400605.184,0.0,0.02378878191199464
0.95,11049964.32760364,18030608.566228513,2187885.233569262,8183.716885743175,12244720.72800809,0.0,0.1353782768686455
2.94,4204281.435897436,7166859.721611721,3004768.586080586,20329.96336996337,1397216.1172161172,0.0,0.05150861662429114
1.53,12329103.216783216,15270747.300699301,3004688.111888112,12116.13986013986,9555968.0,0.0,0.15104960516969915
0.51,1978948.6590038314,6181664.3678160915,1803495.478927203,16321.226053639846,399870.03831417626,0.0,0.024245024827655403
1.15,19323273.626740947,27111481.04735376,2402885.8830083567,8180.590529247911,21327803.54317549,0.0,0.23673845539163293
10.63,7582884.626895854,10859564.52173913,2982964.804853387,20459.292214357938,5053217.391304348,0.0,0.0929014632127359
0.05,1358010.1818181819,2003688.7272727273,742493.0909090909,2792.7272727272725,685335.2727272727,0.0,0.01663761736545724
0.4,1956598.5865470853,6151207.49058296,1782017.1479820628,16237.058295964125,398965.0941704036,0.0,0.023971203645308015
0.7000000000000001,11847053.51989026,18590322.48010974,2151973.2235939642,8090.864197530864,12870081.49245542,0.0,0.14517903349027175
